Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 2-2,F12,7.06E-09,EC_11188498,2,0.043846828,1.082163998,-0.013312489,0.927049826,0.058312965,-0.055084422,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F13,2.12E-09,EC_11188498,2,0.073078047,0.817871964,0.073154395,0.771490001,-0.107414984,0.019352559,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F14,6.35E-10,EC_11188498,2,-0.000584624,1.123930416,-0.023962076,0.999439186,0.001243358,-0.107122922,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F05,3.23E-05,EC_11188498,2,-0.23926868,0.205732845,0.254058997,0.186818165,-0.419828623,-0.144176533,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-3,F06,9.68E-06,EC_11188498,2,0.623476418,0.448221389,1.089076779,1.019788132,0.12082074,0.882047634,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F07,2.90E-06,EC_11188498,2,0.378113408,0.6034016,0.463674444,1.249012201,0.072696816,0.399872099,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F08,8.71E-07,EC_11188498,2,0.154742978,0.82426954,0.105138014,1.031140694,-0.071288583,0.081265674,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F09,2.61E-07,EC_11188498,2,0.175410705,0.854716124,0.114795229,1.044886236,0.005366026,0.102594796,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F10,7.84E-08,EC_11188498,2,0.118441971,0.94047912,0.008017526,1.104010899,0.008497691,0.004408445,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F11,2.35E-08,EC_11188498,2,0.143349232,0.968463035,0.068433687,0.837366593,-0.124061708,0.075985948,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F12,7.06E-09,EC_11188498,2,0.098039216,0.970903277,-0.020996648,1.025235869,-0.036720801,-0.017547578,FALSE,FALSE,Not Fitted,FALSE
