Plate,Well,Class,G/N,Surface_nucleus,R/N,Nuclei,Eccentricity,CPD_ID,Concentration
EMT-Serie2-1-C3,J23,2,0.955537374,1.44197031,0.003793048,-0.025230276,0.834025693,EC_11261632,2.12E-09
EMT-Serie2-1-C3,J24,2,1.183114624,1.261180139,0.078947957,-0.118942731,0.792604154,EC_11261632,6.35E-10
EMT-Serie2-4-C1,N15,2,-0.020492497,1.530338046,0.10621799,-0.114774624,-3.828854775,EC_27084143,3.23E-05
EMT-Serie2-4-C1,N16,2,0.467581889,0.007277686,0.836104739,0.644407346,-0.812742834,EC_27084143,9.68E-06
EMT-Serie2-4-C1,N17,2,0.592891734,0.529936123,0.700253913,0.522537563,-0.291482136,EC_27084143,2.90E-06
EMT-Serie2-4-C1,N18,2,0.425213445,0.717261178,0.619834091,0.410267112,-0.374568673,EC_27084143,8.71E-07
EMT-Serie2-4-C1,N19,2,0.585805984,0.642187612,0.461275337,0.368530885,0.413829643,EC_27084143,2.61E-07
EMT-Serie2-4-C1,N20,2,0.529515412,0.613651044,0.292190724,0.21327212,0.360874881,EC_27084143,7.84E-08
EMT-Serie2-4-C1,N21,2,0.790487638,1.21972296,0.132008945,0.111435726,0.413286238,EC_27084143,2.35E-08
EMT-Serie2-4-C1,N22,2,0.532885507,0.652077801,0.426730145,0.24624374,0.013802472,EC_27084143,7.06E-09
EMT-Serie2-4-C1,N23,2,0.811189145,1.737902821,0.04959244,-0.098080134,-0.039070778,EC_27084143,2.12E-09
EMT-Serie2-4-C1,N24,2,0.655224254,1.782257949,0.080258241,-0.110601002,-0.122592039,EC_27084143,6.35E-10
EMT-Serie2-4-C2,N15,2,-0.033125164,1.766032769,0.274760702,-0.341761116,-4.361110245,EC_27084143,3.23E-05
EMT-Serie2-4-C2,N16,2,0.412494786,0.302062058,0.841344178,0.571926765,-0.990675191,EC_27084143,9.68E-06
EMT-Serie2-4-C2,N17,2,0.507081339,0.309217991,0.621994258,0.404533566,-0.418493685,EC_27084143,2.90E-06
EMT-Serie2-4-C2,N18,2,0.433822361,0.267053965,0.695621162,0.393635571,-0.445626072,EC_27084143,8.71E-07
EMT-Serie2-4-C2,N19,2,0.530895262,0.664427601,0.312445276,0.148648649,-0.023296429,EC_27084143,2.61E-07
EMT-Serie2-4-C2,N20,2,0.626378531,0.611098504,0.251909022,0.100697472,-0.022641509,EC_27084143,7.84E-08
EMT-Serie2-4-C2,N21,2,0.699946605,0.854294316,0.28769053,0.12423714,0.417495712,EC_27084143,2.35E-08
EMT-Serie2-4-C2,N22,2,0.452490357,0.497859272,0.274790484,0.190496949,-0.24908779,EC_27084143,7.06E-09
EMT-Serie2-4-C2,N23,2,0.597425474,1.974659223,0.071157981,-0.04141238,-0.246343365,EC_27084143,2.12E-09
EMT-Serie2-4-C2,N24,2,0.608318535,1.541218475,0.070864629,-0.244115083,-0.291127397,EC_27084143,6.35E-10
EMT-Serie2-4-C3,N15,2,-0.050608316,2.444384408,0.19828721,-0.34875,-3.317810609,EC_27084143,3.23E-05
EMT-Serie2-4-C3,N16,2,0.458645364,-0.200787341,0.818456489,0.575416667,-0.784020932,EC_27084143,9.68E-06
EMT-Serie2-4-C3,N17,2,0.528168832,0.397637978,0.564141894,0.457916667,-0.22092132,EC_27084143,2.90E-06
EMT-Serie2-4-C3,N18,2,0.539655511,0.158193748,0.560453612,0.414583333,-0.178581811,EC_27084143,8.71E-07
EMT-Serie2-4-C3,N19,2,0.555502908,0.814959475,0.425200652,0.26875,0.18302191,EC_27084143,2.61E-07
EMT-Serie2-4-C3,N20,2,0.594941863,0.396835199,0.286153574,0.282916667,0.171551656,EC_27084143,7.84E-08
EMT-Serie2-4-C3,N21,2,0.691621721,0.794257044,0.142423654,0.044583333,0.390728652,EC_27084143,2.35E-08
EMT-Serie2-4-C3,N22,2,0.660056489,0.520833655,0.469451339,0.251666667,0.129476438,EC_27084143,7.06E-09
EMT-Serie2-4-C3,N23,2,0.722768649,1.581705905,0.068752247,-0.0125,0.256891403,EC_27084143,2.12E-09
EMT-Serie2-4-C3,N24,2,0.609149364,1.486931687,0.134575906,-0.0775,-0.243888258,EC_27084143,6.35E-10
EMT-Serie2-3-C1,D15,2,0.543761305,0.033015305,0.911086826,0.685294118,-0.471743876,EC_11188057,3.23E-05
EMT-Serie2-3-C1,D16,2,0.041290571,-0.64526734,0.260830571,0.835714286,-0.76092651,EC_11188057,9.68E-06
EMT-Serie2-3-C1,D17,2,0.528994938,-0.066338379,0.969185063,0.762184874,-0.301697793,EC_11188057,2.90E-06
EMT-Serie2-3-C1,D18,2,0.658180668,0.35744663,0.739734433,0.365966387,-0.214504002,EC_11188057,8.71E-07
EMT-Serie2-3-C1,D19,2,0.871929828,0.769214627,0.385861146,0.234033613,0.398835799,EC_11188057,2.61E-07
EMT-Serie2-3-C1,D20,2,0.931916239,0.886418959,-0.054223304,-0.053781513,1.078995877,EC_11188057,7.84E-08
EMT-Serie2-3-C1,D21,2,0.806859115,0.495677233,-0.012781984,-0.000840336,0.884816881,EC_11188057,2.35E-08
EMT-Serie2-3-C1,D22,2,0.887405147,1.049606894,-0.027489276,-0.033193277,0.814115935,EC_11188057,7.06E-09
EMT-Serie2-3-C1,D23,2,0.901257522,1.655032036,-0.006589816,-0.124789916,0.74533107,EC_11188057,2.12E-09
EMT-Serie2-3-C1,D24,2,0.762344547,1.495691223,-0.002122702,-0.082352941,0.016856658,EC_11188057,6.35E-10
EMT-Serie2-3-C2,D15,2,0.10039744,-0.802478108,0.54784811,0.880726016,-1.307430545,EC_11188057,3.23E-05
EMT-Serie2-3-C2,D16,2,0.06259516,-0.803991184,0.235329167,0.775280899,-0.862969171,EC_11188057,9.68E-06
EMT-Serie2-3-C2,D17,2,0.559411379,-0.315780068,0.95669016,0.781331029,-0.333206359,EC_11188057,2.90E-06
EMT-Serie2-3-C2,D18,2,0.429371829,0.199344731,0.800891243,0.420051858,-0.249657169,EC_11188057,8.71E-07
