PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 4_L16,4177_Plaque cell 4_20122017_1052,L16,,0.741791,0.152688,2041,107.016,0.279507,Plaque cell 4,EC_11188498,9.68E-06
Plaque cell 4_L17,4177_Plaque cell 4_20122017_1052,L17,,0.770527,0.0829184,1778,104.758,0.383146,Plaque cell 4,EC_11188498,2.90E-06
Plaque cell 4_L18,4177_Plaque cell 4_20122017_1052,L18,,0.778356,0.0662383,1722,103.283,0.266704,Plaque cell 4,EC_11188498,8.71E-07
Plaque cell 4_L19,4177_Plaque cell 4_20122017_1052,L19,,0.782274,0.0537065,1793,99.9205,0.302418,Plaque cell 4,EC_11188498,2.61E-07
Plaque cell 4_L20,4177_Plaque cell 4_20122017_1052,L20,,0.771886,0.0711947,1830,103.165,0.310837,Plaque cell 4,EC_11188498,7.84E-08
Plaque cell 4_L21,4177_Plaque cell 4_20122017_1052,L21,,0.758077,0.170561,1966,103.391,0.284375,Plaque cell 4,EC_11188498,2.35E-08
Plaque cell 4_L22,4177_Plaque cell 4_20122017_1052,L22,,0.781808,0.0613791,1646,100.345,0.235972,Plaque cell 4,EC_11188498,7.06E-09
Plaque cell 4_L23,4177_Plaque cell 4_20122017_1052,L23,,0.753543,0.098373,1649,109.921,0.296269,Plaque cell 4,EC_11188498,2.12E-09
Plaque cell 4_L24,4177_Plaque cell 4_20122017_1052,L24,,0.731174,0.0831904,1401,107.379,0.167901,Plaque cell 4,EC_11188498,6.35E-10
Plaque cell 5_L15,4178_Plaque cell 5_20122017_1117,L15,,0.694401,0.237808,2741,99.0677,0.222942,Plaque cell 5,EC_11188498,3.23E-05
Plaque cell 5_L16,4178_Plaque cell 5_20122017_1117,L16,,0.760815,0.104435,1932,107.367,0.32682,Plaque cell 5,EC_11188498,9.68E-06
Plaque cell 5_L17,4178_Plaque cell 5_20122017_1117,L17,,0.776067,0.0780009,1947,102.779,0.337197,Plaque cell 5,EC_11188498,2.90E-06
Plaque cell 5_L18,4178_Plaque cell 5_20122017_1117,L18,,0.763491,0.0906193,1857,105.571,0.378215,Plaque cell 5,EC_11188498,8.71E-07
Plaque cell 5_L19,4178_Plaque cell 5_20122017_1117,L19,,0.76924,0.0655741,1830,101.349,0.294713,Plaque cell 5,EC_11188498,2.61E-07
Plaque cell 5_L20,4178_Plaque cell 5_20122017_1117,L20,,0.800983,0.0647167,1866,98.0868,0.280509,Plaque cell 5,EC_11188498,7.84E-08
Plaque cell 5_L21,4178_Plaque cell 5_20122017_1117,L21,,0.769766,0.111876,1985,105.855,0.417022,Plaque cell 5,EC_11188498,2.35E-08
