CPD_ID,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 LDA_1,Bottom LDA_1,Top LDA_1,Slope LDA_1,R2 LDA_1,Run
EC_11261582,1.05E-05,0.0127,0.773,2.53,0.965,9.06E-06,0.092,0.684,2.15,0.958,2.46E-09,1.05,1.25,18,0.0875,9.87E-06,0.272,0.967,2.38,0.963,1
EC_11192169,7.59E-07,0.0181,0.0532,12.3,0.0646,1.70E-06,0.0423,0.115,4.59,0.258,1.18E-09,0.902,1.63,0.0993,0.11,8.55E-07,0.96,0.999,7.78,0.0643,1
EC_11176305,7.61E-10,-0.00222,0.0923,0.711,0.224,1.54E-09,0.0715,0.145,9,0.23,5.65E-08,0.743,1.47,0.092,0.114,1.39E-07,0.962,0.98,9.57,0.0534,1
EC_11189472,6.35E-10,-0.0458,0.0237,7.93,0.0411,3.23E-05,-0.0418,0.202,0.0525,0.0365,8.66E-07,1.02,1.17,12.7,0.0677,2.52E-05,0.89,0.997,1.47,0.141,1
EC_24723328,6.70E-09,-0.0214,0.0714,13.2,0.461,1.59E-05,-0.176,0.0465,3.44,0.503,4.37E-08,0.869,0.955,12.1,0.0411,7.46E-09,0.908,0.978,14.3,0.253,1
EC_11193483,3.04E-06,-0.00819,0.241,14.5,0.711,2.99E-06,-0.0977,0.178,14.6,0.825,1.06E-05,0.0503,0.983,13,0.791,5.00E-06,0.552,1.03,2.67,0.955,1
EC_11188057,9.04E-07,0.0048,0.532,14.7,0.667,7.41E-07,-0.0826,0.513,7.85,0.503,4.38E-06,-0.156,0.815,0.949,0.818,8.64E-07,0.288,0.963,13.6,0.871,1
EC_11261632,3.06E-06,0.0404,0.79,15,0.979,9.58E-07,-0.00349,0.43,16.7,0.592,2.06E-05,0.173,0.904,2.38,0.57,2.75E-06,0.349,0.943,5.19,0.958,1
EC_11191782,4.16E-08,0.0212,0.0261,9.43,0.00221,1.25E-05,-0.527,0.0111,10.2,0.822,2.54E-05,0.0659,0.881,11.3,0.597,2.80E-05,0.944,1.19,13.6,0.536,1
EC_11187466,9.63E-07,0.00283,0.11,17.5,0.315,9.24E-07,-0.00182,0.398,16.7,0.65,9.75E-06,-0.125,0.967,2.22,0.805,1.34E-06,0.523,0.983,3.29,0.94,1
EC_11190427,1.03E-05,0.0091,0.279,14,0.767,7.22E-07,-0.0941,0.333,0.345,0.797,6.35E-10,0.615,1.06,0.726,0.0792,1.26E-05,0.683,0.975,2.79,0.813,1
EC_11176960,5.24E-06,0.0145,0.139,15,0.524,2.81E-09,-0.212,0.113,0.479,0.403,7.19E-08,0.945,1.12,10.7,0.0625,8.62E-06,0.765,0.983,3.58,0.78,1
EC_11190059,1.16E-08,0.0297,0.0496,9.96,0.0133,3.84E-09,-0.0249,0.0497,12.2,0.029,1.92E-09,0.797,1.03,12.8,0.0678,2.87E-05,0.938,1.08,13.5,0.213,1
EC_11261900,1.02E-05,0.0187,0.528,10.5,0.89,9.81E-06,0.0405,0.963,2.51,0.929,6.35E-10,0.704,0.944,-9.24,0.0149,1.03E-05,0.169,0.967,2.49,0.959,1
EC_11265537,2.96E-06,0.0394,0.204,17.9,0.446,2.82E-08,-0.107,0.234,0.258,0.599,3.12E-09,0.829,1.05,3.84,0.104,5.87E-06,0.685,0.945,1.73,0.794,1
EC_11191311,3.23E-05,0.0251,0.133,28.4,0.114,7.36E-10,-0.139,0.0835,13.9,0.61,7.51E-10,0.661,1.14,0.429,0.137,4.17E-09,0.935,0.965,12,0.0623,1
