Plate,Well,Concentration,CPD_ID,Class,Eccent,R/N,Nuclei,Surface_nucleus,G/N,LDA_1
4180_Plaque cell 7_20122017_1207,O15,3.23E-05,EC_11188969,2,0.805488932,0.052966006,0.049180328,1.111182935,0.917134575,0.934307802
4180_Plaque cell 7_20122017_1207,P15,3.23E-05,EC_11263657,2,0.316308208,0.180679766,-0.068181818,1.705647294,0.775054066,0.859211736
4180_Plaque cell 7_20122017_1207,A16,9.68E-06,EC_11189828,2,0.512732801,0.104487683,-0.103949329,0.35797144,0.711719982,0.906217254
4180_Plaque cell 7_20122017_1207,B16,9.68E-06,EC_11189194,2,-0.025255901,0.546958823,0.647540984,-0.20246812,0.631017568,0.382933001
4180_Plaque cell 7_20122017_1207,C16,9.68E-06,EC_11193277,2,0.205415536,0.046534431,0.052533532,0.904213434,0.676794147,0.829036649
4180_Plaque cell 7_20122017_1207,D16,9.68E-06,EC_11189359,2,1.023696248,0.082153564,0.057749627,0.733043427,1.278582165,0.996982785
4180_Plaque cell 7_20122017_1207,E16,9.68E-06,EC_11191283,2,-0.56832986,0.103224558,0.563710879,-0.003114533,0.293627222,0.461635701
4180_Plaque cell 7_20122017_1207,F16,9.68E-06,EC_11187920,2,0.512785227,0.243902617,0.128166915,1.452488688,1.584651693,0.901737213
4180_Plaque cell 7_20122017_1207,G16,9.68E-06,EC_16578705,2,0.836603363,-0.00336455,-0.389716841,2.881765294,0.701376081,1.104289022
4180_Plaque cell 7_20122017_1207,H16,9.68E-06,EC_11192350,2,1.006959462,0.057945727,0.007078987,0.973555856,0.962850476,0.978069
4180_Plaque cell 7_20122017_1207,I16,9.68E-06,EC_11188016,2,0.75158259,0.03759881,0.138226528,1.192983487,1.059679096,0.920766141
4180_Plaque cell 7_20122017_1207,J16,9.68E-06,EC_11193182,2,0.664805568,0.121585508,-0.005216095,0.308526767,0.895233204,0.906656685
4180_Plaque cell 7_20122017_1207,K16,9.68E-06,EC_11189738,2,1.05752369,0.055779666,0.162816692,0.954045954,1.652608051,1.026184596
4180_Plaque cell 7_20122017_1207,L16,9.68E-06,EC_11190219,2,0.992227945,0.021618554,0.051415797,0.836398895,1.233009036,1.011213515
4180_Plaque cell 7_20122017_1207,M16,9.68E-06,EC_11257101,2,0.614162702,0.267064428,0.176229508,1.030440148,1.077343681,0.810078401
4180_Plaque cell 7_20122017_1207,N16,9.68E-06,EC_11177295,2,1.141181405,0.025226601,-0.113636364,0.535088441,1.410425852,1.11488423
4180_Plaque cell 7_20122017_1207,O16,9.68E-06,EC_11188969,2,0.699406283,0.082669175,0.146795827,1.028207087,0.918526612,0.873710467
4180_Plaque cell 7_20122017_1207,P16,9.68E-06,EC_11263657,2,0.550518355,0.081831615,-0.047317437,1.316271963,0.79187629,0.914051755
4180_Plaque cell 7_20122017_1207,A17,2.90E-06,EC_11189828,2,0.707781229,0.026752465,-0.070789866,0.49978257,0.883872045,0.969988849
4180_Plaque cell 7_20122017_1207,B17,2.90E-06,EC_11189194,2,0.318680455,0.087107381,0.211624441,1.346124464,0.907169023,0.803051652
4180_Plaque cell 7_20122017_1207,C17,2.90E-06,EC_11193277,2,0.650047838,0.095758059,0.035022355,0.920902627,0.945467869,0.909484534
4180_Plaque cell 7_20122017_1207,D17,2.90E-06,EC_11189359,2,0.841059516,0.135446576,0.141579732,0.768560851,0.965174106,0.878794227
4180_Plaque cell 7_20122017_1207,E17,2.90E-06,EC_11191283,2,-0.28389625,0.2677589,0.478390462,0.237903273,0.648650028,0.522208074
4180_Plaque cell 7_20122017_1207,F17,2.90E-06,EC_11187920,2,0.730769735,0.092933298,0.140834575,1.22471646,1.249260168,0.925612337
4180_Plaque cell 7_20122017_1207,G17,2.90E-06,EC_16578705,2,0.929946657,0.003489629,0.053651267,1.048539696,0.919308294,0.964700092
4180_Plaque cell 7_20122017_1207,H17,2.90E-06,EC_11192350,2,0.816275443,0.032360049,0.092399404,1.222953517,1.058801043,0.947761227
