Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-3,C06,9.68E-06,EC_2153600,2,0.199089135,0.994533319,0.833734815,1.085209653,0.129133445,0.169015371,Not Fitted,False,Not Fitted,False
EMT 1-3,C07,2.90E-06,EC_2153600,2,0.137605725,0.946918337,0.497137725,0.963711585,0.073791945,0.056697471,Not Fitted,False,Not Fitted,False
EMT 1-3,C08,8.71E-07,EC_2153600,2,0.082628497,1.0335292,0.02409861,1.364329163,0.023458844,-0.183238744,Not Fitted,False,Not Fitted,False
EMT 1-3,C09,2.61E-07,EC_2153600,2,0.054651919,0.969406592,-0.050226158,1.139065309,-0.020405621,-0.182851906,Not Fitted,False,Not Fitted,False
EMT 1-3,C10,7.84E-08,EC_2153600,2,0.081001952,0.903585049,0.113318847,1.028933567,-0.022732823,-0.098463951,Not Fitted,False,Not Fitted,False
EMT 1-3,C11,2.35E-08,EC_2153600,2,-0.023422251,1.191963507,-0.129498658,0.850650337,-0.062958987,-0.218970833,Not Fitted,False,Not Fitted,False
EMT 1-3,C12,7.06E-09,EC_2153600,2,0.020819779,1.085903034,-0.05967193,0.874217642,-0.007756791,-0.165337677,Not Fitted,False,Not Fitted,False
EMT 1-3,C13,2.12E-09,EC_2153600,2,0.011711126,1.167053794,-0.02117733,1.065100091,-0.056813209,-0.202583827,Not Fitted,False,Not Fitted,False
EMT 1-3,C14,6.35E-10,EC_2153600,2,0.001951854,1.086991707,-0.03617991,0.907375476,-0.034814602,-0.184411894,Not Fitted,False,Not Fitted,False
EMT 2-1,H15,3.23E-05,EC_27080206,2,-0.319223425,0.013909497,-0.965677513,0.015960543,-0.131086013,-0.529856551,True,True,Not Fitted,True
EMT 2-1,H16,9.68E-06,EC_27080206,2,0.422978994,0.942064945,0.883003995,0.538751875,-0.007494911,0.500924773,False,False,Not Fitted,False
EMT 2-1,H17,2.90E-06,EC_27080206,2,0.130490134,1.048656192,0.329607045,1.107861798,0.031539232,-0.016946628,False,False,Not Fitted,False
EMT 2-1,H18,8.71E-07,EC_27080206,2,0.102482495,0.885480196,0.448284418,0.964314165,0.028991522,0.011847683,False,False,Not Fitted,False
EMT 2-1,H19,2.61E-07,EC_27080206,2,0.077021006,0.998626539,0.084071011,1.092298524,0.022222881,-0.121422099,False,False,Not Fitted,False
EMT 2-1,H20,7.84E-08,EC_27080206,2,0.038510503,1.360337628,-0.119193689,1.212028241,0.052186057,-0.228433043,False,False,Not Fitted,False
