Plate,Well,G/N,R/N,Nuclei,Eccent,CPD_ID,Concentration
EMT-Serie2-4-C3,A09,0.846075539,-0.06880444,-0.292083333,1.051008272,EC_11190627,2.61E-07
EMT-Serie2-4-C3,A10,0.792103325,-0.033217736,-0.319166667,0.658667442,EC_11190627,7.84E-08
EMT-Serie2-4-C3,A11,0.850425151,-0.070335425,-0.19875,0.72611465,EC_11190627,2.35E-08
EMT-Serie2-4-C3,A12,0.667574841,-0.004139169,-0.04,0.208578904,EC_11190627,7.06E-09
EMT-Serie2-4-C3,A13,0.797156279,-0.06752427,-0.207083333,0.210138224,EC_11190627,2.12E-09
EMT-Serie2-4-C3,A14,0.715968446,-0.0021341,-0.1575,0.542881307,EC_11190627,6.35E-10
EMT-Serie2-1-C1,C05,0.206688565,0.872310387,0.750906892,-1.403668049,EC_11190878,3.23E-05
EMT-Serie2-1-C1,C06,0.726902694,0.934148055,0.655380895,-0.035558686,EC_11190878,9.68E-06
EMT-Serie2-1-C1,C07,0.889415607,0.646433469,0.390165256,0.0446375,EC_11190878,2.90E-06
EMT-Serie2-1-C1,C08,0.92492003,0.151997767,0.111245466,0.814823511,EC_11190878,8.71E-07
EMT-Serie2-1-C1,C09,0.867758286,-0.055998964,-0.07980653,1.231170593,EC_11190878,2.61E-07
EMT-Serie2-1-C1,C10,1.318079637,0.046189134,0.040306328,1.101197464,EC_11190878,7.84E-08
EMT-Serie2-1-C1,C11,1.195591264,-0.040098274,-0.070536074,1.5647909,EC_11190878,2.35E-08
EMT-Serie2-1-C1,C12,1.049404348,0.109435911,0.088270859,0.815188751,EC_11190878,7.06E-09
EMT-Serie2-1-C1,C13,1.249327076,0.052495742,-0.049576784,1.460619342,EC_11190878,2.12E-09
EMT-Serie2-1-C1,C14,1.005116259,0.109020595,0.036275695,0.96433696,EC_11190878,6.35E-10
EMT-Serie2-1-C2,C05,0.181951627,0.889507431,0.681265207,-1.563789596,EC_11190878,3.23E-05
EMT-Serie2-1-C2,C06,0.780941876,0.94880616,0.736415247,-0.19685081,EC_11190878,9.68E-06
EMT-Serie2-1-C2,C07,0.689190861,0.642909337,0.370640714,0.033235582,EC_11190878,2.90E-06
EMT-Serie2-1-C2,C08,0.881810385,0.050643008,0.100162206,0.760191276,EC_11190878,8.71E-07
EMT-Serie2-1-C2,C09,1.016055183,0.115797283,-0.050689376,1.039919685,EC_11190878,2.61E-07
EMT-Serie2-1-C2,C10,1.321366799,0.048666988,0.043390105,1.226678291,EC_11190878,7.84E-08
EMT-Serie2-1-C2,C11,1.318831396,0.002259105,-0.061232766,1.07260046,EC_11190878,2.35E-08
EMT-Serie2-1-C2,C12,1.2991918,0.064689903,0.043390105,1.117988957,EC_11190878,7.06E-09
EMT-Serie2-1-C2,C13,1.237193547,0.023440311,-0.092051906,1.388787615,EC_11190878,2.12E-09
EMT-Serie2-1-C2,C14,1.377995545,0.084433369,0.01297648,1.081635888,EC_11190878,6.35E-10
EMT-Serie2-1-C3,C05,0.167138784,0.873713747,0.716059271,-1.485364389,EC_11190878,3.23E-05
EMT-Serie2-1-C3,C06,0.569131598,0.9607623,0.720064077,-0.296290071,EC_11190878,9.68E-06
EMT-Serie2-1-C3,C07,0.611356895,0.690080195,0.435322387,0.175627326,EC_11190878,2.90E-06
