Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-4-C2,I17,-0.873147341,0.471267877,-2.31364416,X-XEW670281,2.90E-06,0.379255155
EMT-Serie2-4-C2,I18,-0.886224935,0.487857904,-2.292281304,X-XEW670281,8.71E-07,0.473366177
EMT-Serie2-4-C2,I19,-0.879686138,0.615287366,-1.928145954,X-XEW670281,2.61E-07,1.00675594
EMT-Serie2-4-C2,I20,-0.81255449,0.749465414,-0.437548729,X-XEW670281,7.84E-08,0.975330121
EMT-Serie2-4-C2,I21,-0.81211857,0.449655125,-0.044908779,X-XEW670281,2.35E-08,0.920773105
EMT-Serie2-4-C2,I22,-0.761551874,0.330994955,-0.166287229,X-XEW670281,7.06E-09,0.996464086
EMT-Serie2-4-C2,I23,-0.556669573,-0.059367313,0.003960705,X-XEW670281,2.12E-09,0.739789326
EMT-Serie2-4-C2,I24,-0.389712293,0.11941961,-0.185123967,X-XEW670281,6.35E-10,0.733305118
EMT-Serie2-4-C3,I15,-0.782916667,0.128075018,-2.247218331,X-XEW670281,3.23E-05,-0.053217048
EMT-Serie2-4-C3,I16,-0.745,0.334979819,-1.857308983,X-XEW670281,9.68E-06,0.513657784
EMT-Serie2-4-C3,I17,-0.779583333,0.563399599,-2.265243016,X-XEW670281,2.90E-06,0.54772543
EMT-Serie2-4-C3,I18,-0.76625,0.598691994,-2.802864921,X-XEW670281,8.71E-07,0.463483614
EMT-Serie2-4-C3,I19,-0.764583333,0.516465338,-0.967941433,X-XEW670281,2.61E-07,1.031087699
EMT-Serie2-4-C3,I20,-0.728333333,0.695449959,-0.591616672,X-XEW670281,7.84E-08,1.2050648
EMT-Serie2-4-C3,I21,-0.630416667,0.467276644,-0.054126913,X-XEW670281,2.35E-08,0.727436616
EMT-Serie2-4-C3,I22,-0.670416667,0.326049073,0.446203452,X-XEW670281,7.06E-09,1.207915184
EMT-Serie2-4-C3,I23,-0.380833333,-0.050438418,-0.085815472,X-XEW670281,2.12E-09,0.68983005
EMT-Serie2-4-C3,I24,-0.04875,0.133988738,-0.156407749,X-XEW670281,6.35E-10,0.651812585
EMT-Serie2-5-C1,D05,0.184298908,-0.017819454,0.294653015,DMSO,0.00E+00,0.566508742
EMT-Serie2-5-C1,E05,0.244332494,-0.038570048,0.196245734,DMSO,0.00E+00,0.413208577
EMT-Serie2-5-C1,F05,0.214945424,0.001816622,0.45612266,DMSO,0.00E+00,0.527292571
EMT-Serie2-5-C1,G05,0.271200672,-0.010794134,0.237304788,DMSO,0.00E+00,0.447766204
EMT-Serie2-5-C1,H05,0.248950462,-0.06143409,0.238545868,DMSO,0.00E+00,0.523013854
EMT-Serie2-5-C1,I05,0.165407221,-0.067842929,0.468998862,DMSO,0.00E+00,0.741442727
EMT-Serie2-5-C1,J05,0.303526448,-0.018037791,-0.041472748,DMSO,0.00E+00,0.501753365
EMT-Serie2-5-C1,K05,0.299748111,0.056409481,0.344709898,DMSO,0.00E+00,0.367441229
EMT-Serie2-5-C1,L05,0.268261965,-0.042732725,0.189031958,DMSO,0.00E+00,0.483937278
EMT-Serie2-5-C1,M05,0.232997481,0.038187602,0.017219981,DMSO,0.00E+00,0.418756627
EMT-Serie2-5-C1,N05,0.200671704,-0.039553279,0.218998862,DMSO,0.00E+00,0.58835033
EMT-Serie2-5-C1,O05,0.333333333,0.073606745,0.123875271,DMSO,0.00E+00,0.477850331
EMT-Serie2-5-C1,P05,0.588161209,0.03964461,-0.094865033,DMSO,0.00E+00,0.331393518
EMT-Serie2-5-C1,D06,-0.026028547,0.013673901,1.216180577,DMSO,0.00E+00,1.045692682
EMT-Serie2-5-C1,E06,0.049538203,0.063921421,0.935386286,DMSO,0.00E+00,0.954868941
EMT-Serie2-5-C1,F06,0.020990764,0.106822538,0.790438515,DMSO,0.00E+00,1.043978597
EMT-Serie2-5-C1,G06,0.01427372,0.012285391,1.192005378,DMSO,0.00E+00,1.097027557
EMT-Serie2-5-C1,H06,-0.076826196,-0.043887201,1.363067535,DMSO,0.00E+00,1.168778864
EMT-Serie2-5-C1,I06,0.010915197,-0.001929359,1.386311925,DMSO,0.00E+00,1.214176126
EMT-Serie2-5-C1,J06,-0.17170445,0.006806983,0.931585479,DMSO,0.00E+00,0.986959325
EMT-Serie2-5-C1,K06,-0.028967254,0.100759043,1.065854794,DMSO,0.00E+00,1.077101328
EMT-Serie2-5-C1,L06,0.056255248,0.080646335,1.113300238,DMSO,0.00E+00,1.099546742
EMT-Serie2-5-C1,M06,0.167506297,0.263254708,0.818931637,DMSO,0.00E+00,1.030700937
EMT-Serie2-5-C1,N06,0.105793451,0.023424868,0.637708139,DMSO,0.00E+00,0.801912892
EMT-Serie2-5-C1,O06,0.032325777,0.056058429,0.746638742,DMSO,0.00E+00,0.927391651
EMT-Serie2-5-C1,P06,-0.048698573,-0.08196492,0.605698624,DMSO,0.00E+00,0.808451085
EMT-Serie2-5-C1,D07,0.136020151,0.191320455,0.882304271,DMSO,0.00E+00,1.04061211
