Plate,Well,Concentration,CPD_ID,G/N,R/N,Nuclei,Eccent
EMT 1-2,A12,7.06E-09,EC_1669101,0.569123318,-0.015408778,-0.091872792,0.445906309
EMT 1-2,B12,7.06E-09,EC_2115383,1.112322841,-0.058953307,-0.017989078,1.120462522
EMT 1-2,C12,7.06E-09,EC_2153600,1.149591413,0.008536384,0.050754899,1.050033061
EMT 1-2,D12,7.06E-09,EC_2118873,1.129713897,0.021078247,0.030517186,1.059171598
EMT 1-2,E12,7.06E-09,EC_3028064,1.406093542,0.009302451,0.099261163,1.365083671
EMT 1-2,F12,7.06E-09,EC_4753261,1.327061644,-0.057012081,0.055894635,1.323850053
EMT 1-2,G12,7.06E-09,EC_3839735,1.422850586,0.01676805,0.123674912,1.016903749
EMT 1-2,H12,7.06E-09,EC_4753381,1.271424434,0.103973014,0.168326373,0.909767552
EMT 1-2,I12,7.06E-09,EC_3908975,1.266501101,0.045898549,0.134918085,0.945440057
EMT 1-2,J12,7.06E-09,EC_4756168,1.335852805,0.024035723,0.043366527,1.255149964
EMT 1-2,K12,7.06E-09,EC_3941139,1.14184159,0.092685622,0.151622229,0.913870568
EMT 1-2,L12,7.06E-09,EC_4795178,1.304563073,-0.025937365,0.070671378,1.208813008
EMT 1-2,M12,7.06E-09,EC_3960084,0.943838579,0.101109516,0.226469643,0.616842712
EMT 1-2,N12,7.06E-09,EC_9786646,0.985594822,0.010410259,0.030195952,1.000288228
EMT 1-2,O12,7.06E-09,EC_3970232,0.938862116,0.020283701,-0.006745904,0.846035164
EMT 1-2,P12,7.06E-09,EC_11484996,0.538010684,-0.086711862,-0.175714745,0.783014869
EMT 1-2,A13,2.12E-09,EC_1669101,0.619769897,-0.025326219,-0.132990684,0.804004679
EMT 1-2,B13,2.12E-09,EC_2115383,0.959164668,0.052935548,0.043366527,0.815381224
EMT 1-2,C13,2.12E-09,EC_2153600,1.243839599,0.015610405,0.030517186,1.185093505
EMT 1-2,D13,2.12E-09,EC_2118873,1.255064091,0.033258435,0.053003534,1.139943372
EMT 1-2,E13,2.12E-09,EC_3028064,1.253197475,0.031912833,0.097976229,1.106051101
EMT 1-2,F13,2.12E-09,EC_4753261,1.210438855,0.079426104,0.117571474,0.988911683
EMT 1-2,G13,2.12E-09,EC_3839735,1.240120535,0.145038788,0.195631224,1.029246707
EMT 1-2,H13,2.12E-09,EC_4753381,1.332077069,0.012201547,0.106328301,1.13365321
EMT 1-2,I13,2.12E-09,EC_3908975,1.188506999,0.021236302,0.06810151,1.004849019
EMT 1-2,J13,2.12E-09,EC_4756168,1.261542348,0.04219494,0.120462576,1.033095404
EMT 1-2,K13,2.12E-09,EC_3941139,1.303571322,0.01367103,0.073883713,1.137417134
EMT 1-2,L13,2.12E-09,EC_4795178,1.387625729,-0.008866733,0.081593318,1.225004663
EMT 1-2,M13,2.12E-09,EC_3960084,1.200089229,0.009308147,0.105043367,1.209236873
EMT 1-2,N13,2.12E-09,EC_9786646,0.990571285,-0.017093984,0.053967234,1.047337278
EMT 1-2,O13,2.12E-09,EC_3970232,1.070832246,-0.047202572,0.023450048,0.957952561
EMT 1-2,P13,2.12E-09,EC_11484996,0.526991627,0.029919349,0.148731128,0.350400977
EMT 1-2,A14,6.35E-10,EC_1669101,0.653949874,0.008711526,-0.057500803,0.552822095
EMT 1-2,B14,6.35E-10,EC_2115383,1.2027032,-0.008029469,-0.054288468,1.059612418
EMT 1-2,C14,6.35E-10,EC_2153600,1.265874173,0.034495819,0.013170575,1.216035673
EMT 1-2,D14,6.35E-10,EC_2118873,1.435569788,0.037336534,0.047542563,1.260439803
EMT 1-2,E14,6.35E-10,EC_3028064,1.175716958,0.013152724,0.063283007,1.068581408
EMT 1-2,F14,6.35E-10,EC_4753261,1.415678104,0.062528478,0.066816576,1.233465014
EMT 1-2,G14,6.35E-10,EC_3839735,1.18333927,0.034957169,0.084805654,1.118173649
EMT 1-2,H14,6.35E-10,EC_4753381,1.439600546,-0.00347863,0.100867331,1.436055679
EMT 1-2,I14,6.35E-10,EC_3908975,1.336377016,0.035414246,0.069386444,1.115664366
EMT 1-2,J14,6.35E-10,EC_4756168,1.301821591,-0.032222963,0.074526181,1.088350486
EMT 1-2,K14,6.35E-10,EC_3941139,1.388560808,0.026118914,0.07356248,1.117953239
EMT 1-2,L14,6.35E-10,EC_4795178,1.290381039,-0.060491138,-0.003212335,1.486020922
EMT 1-2,M14,6.35E-10,EC_3960084,1.189505833,-0.005109015,0.053967234,1.03411268
EMT 1-2,N14,6.35E-10,EC_9786646,1.212588829,-0.028553955,0.001284934,1.300910463
EMT 1-2,O14,6.35E-10,EC_3970232,0.84286774,-0.025359824,0.047863797,0.803580814
EMT 1-2,P14,6.35E-10,EC_11484996,0.657183689,-0.089194319,-0.162222936,1.051847205
EMT 1-2,A15,3.23E-05,EC_11494581,-0.025186782,0.013295115,-0.569868294,0.602075245
EMT 1-2,B15,3.23E-05,EC_11509486,0.484757218,0.214312362,0.456151622,-0.526050762
EMT 1-2,C15,3.23E-05,EC_11497025,2.107665014,0.888067289,0.355605525,0.579864702
EMT 1-2,D15,3.23E-05,EC_11509578,0.165029924,-0.105097054,-0.482492772,-0.329258575
