Plate,Well,Concentration,Compound Name,Plate Name,Class,G,R,Nuclei,Eccent,LDA_1
EMT-Serie2-1-C1,A07,2.90E-06,EC_11187255,EMT-Serie2-1-C1,2,0.815807128,0.046082608,-0.023780734,0.519788161,-0.149925432
EMT-Serie2-1-C1,B07,2.90E-06,EC_11191498,EMT-Serie2-1-C1,2,1.079000171,0.14210703,0.183393793,0.374135817,-0.076896108
EMT-Serie2-1-C1,C07,2.90E-06,EC_11190878,EMT-Serie2-1-C1,2,0.889415607,0.646433469,0.390165256,0.0446375,0.481943595
EMT-Serie2-1-C1,D07,2.90E-06,EC_11193483,EMT-Serie2-1-C1,2,1.301048078,0.195983565,0.161225312,0.841512092,-0.063015365
EMT-Serie2-1-C1,E07,2.90E-06,EC_11190059,EMT-Serie2-1-C1,2,1.251621092,0.223463228,0.077791213,0.731548877,-0.062791652
EMT-Serie2-1-C1,F07,2.90E-06,EC_11259170,EMT-Serie2-1-C1,2,1.357572177,0.0613374,-0.02700524,1.173854061,-0.235744115
EMT-Serie2-1-C1,G07,2.90E-06,EC_11192169,EMT-Serie2-1-C1,2,1.329757234,0.171946446,-0.095929061,1.129920952,-0.125266707
EMT-Serie2-1-C1,H07,2.90E-06,EC_11258805,EMT-Serie2-1-C1,2,1.052147357,0.129098723,0.104796453,0.851973598,-0.083703245
EMT-Serie2-1-C1,I07,2.90E-06,EC_11281652,EMT-Serie2-1-C1,2,1.214920611,0.272202243,0.024183797,1.055881662,0.004071768
EMT-Serie2-1-C1,J07,2.90E-06,EC_11265529,EMT-Serie2-1-C1,2,1.108811058,0.250008428,0.159613059,0.563669093,0.011456696
EMT-Serie2-1-C1,K07,2.90E-06,EC_11281741,EMT-Serie2-1-C1,2,0.879205727,0.07435245,0.012494962,0.887245311,-0.117510066
EMT-Serie2-1-C1,L07,2.90E-06,EC_11265537,EMT-Serie2-1-C1,2,1.214675363,0.33643742,0.103990326,0.672223527,0.065076549
EMT-Serie2-1-C1,M07,2.90E-06,EC_11257101,EMT-Serie2-1-C1,2,1.235830868,0.128146731,0.065699315,1.102841042,-0.137400603
EMT-Serie2-1-C1,N07,2.90E-06,EC_11191782,EMT-Serie2-1-C1,2,0.949127934,0.018984551,0.010076582,0.728157366,-0.199411916
EMT-Serie2-1-C1,O07,2.90E-06,EC_11258170,EMT-Serie2-1-C1,2,0.86368339,0.157473743,0.099959694,0.314940909,-0.046639839
EMT-Serie2-1-C1,P07,2.90E-06,EC_11192156,EMT-Serie2-1-C1,2,0.702242023,0.124207966,0.20274083,-0.060055829,-0.029399478
EMT-Serie2-1-C1,A08,8.71E-07,EC_11187255,EMT-Serie2-1-C1,2,0.852145395,-0.028155226,-0.062071745,0.892802171,-0.221661795
EMT-Serie2-1-C1,B08,8.71E-07,EC_11191498,EMT-Serie2-1-C1,2,1.007557424,0.050133292,0.057638049,0.914899168,-0.152345982
EMT-Serie2-1-C1,C08,8.71E-07,EC_11190878,EMT-Serie2-1-C1,2,0.92492003,0.151997767,0.111245466,0.814823511,-0.045056663
EMT-Serie2-1-C1,D08,8.71E-07,EC_11193483,EMT-Serie2-1-C1,2,0.97708248,0.267177991,0.149133414,0.760011479,0.072535493
EMT-Serie2-1-C1,E08,8.71E-07,EC_11190059,EMT-Serie2-1-C1,2,1.024838004,0.121453122,0.093510681,0.897315489,-0.081906008
EMT-Serie2-1-C1,F08,8.71E-07,EC_11259170,EMT-Serie2-1-C1,2,1.200511324,0.300058117,0.090286175,1.036445697,0.008376782
EMT-Serie2-1-C1,G08,8.71E-07,EC_11192169,EMT-Serie2-1-C1,2,0.985205862,0.013612404,-0.007658202,1.159557538,-0.189328007
EMT-Serie2-1-C1,H08,8.71E-07,EC_11258805,EMT-Serie2-1-C1,2,1.07077869,0.084600521,0.106005643,0.925752002,-0.130568641
EMT-Serie2-1-C1,I08,8.71E-07,EC_11281652,EMT-Serie2-1-C1,2,1.124295665,0.111156508,0.02337767,0.852912786,-0.13870933
EMT-Serie2-1-C1,J08,8.71E-07,EC_11265529,EMT-Serie2-1-C1,2,1.149831684,0.170655998,0.094719871,0.76590749,-0.07649216
EMT-Serie2-1-C1,K08,8.71E-07,EC_11281741,EMT-Serie2-1-C1,2,1.210068466,0.033942689,0.041515518,1.250554382,-0.212957886
EMT-Serie2-1-C1,L08,8.71E-07,EC_11265537,EMT-Serie2-1-C1,2,1.13873891,0.141355955,0.07617896,0.478072578,-0.140199325
EMT-Serie2-1-C1,M08,8.71E-07,EC_11257101,EMT-Serie2-1-C1,2,1.245712492,0.098412493,0.142281338,0.760402807,-0.159083094
EMT-Serie2-1-C1,N08,8.71E-07,EC_11191782,EMT-Serie2-1-C1,2,1.001052682,0.114113616,0.084643289,0.727792126,-0.105319873
EMT-Serie2-1-C1,O08,8.71E-07,EC_11258170,EMT-Serie2-1-C1,2,0.865045462,0.103864197,0.02579605,0.476089849,-0.117342002
EMT-Serie2-1-C1,P08,8.71E-07,EC_11192156,EMT-Serie2-1-C1,2,0.723650323,0.165184067,0.027408303,0.37677076,-0.016306005
EMT-Serie2-1-C1,A09,2.61E-07,EC_11187255,EMT-Serie2-1-C1,2,0.872119935,-0.04280727,-0.262797259,1.077535154,-0.280127163
EMT-Serie2-1-C1,B09,2.61E-07,EC_11191498,EMT-Serie2-1-C1,2,1.146417072,-0.029732889,0.046755341,0.709791031,-0.278522707
EMT-Serie2-1-C1,C09,2.61E-07,EC_11190878,EMT-Serie2-1-C1,2,0.867758286,-0.055998964,-0.07980653,1.231170593,-0.254671326
EMT-Serie2-1-C1,D09,2.61E-07,EC_11193483,EMT-Serie2-1-C1,2,1.097506993,0.083210289,0.016525595,1.044533145,-0.149301298
EMT-Serie2-1-C1,E09,2.61E-07,EC_11190059,EMT-Serie2-1-C1,2,1.240577368,-0.013137757,0.016928658,1.171062586,-0.276068057
EMT-Serie2-1-C1,F09,2.61E-07,EC_11259170,EMT-Serie2-1-C1,2,1.362477145,0.024140949,0.042724708,1.184393833,-0.260221473
EMT-Serie2-1-C1,G09,2.61E-07,EC_11192169,EMT-Serie2-1-C1,2,1.063319365,0.067317689,0.087464732,0.889906342,-0.154465024
EMT-Serie2-1-C1,H09,2.61E-07,EC_11258805,EMT-Serie2-1-C1,2,1.062674174,0.201536402,0.129383313,1.069525971,-0.020621749
EMT-Serie2-1-C1,I09,2.61E-07,EC_11281652,EMT-Serie2-1-C1,2,0.950950319,-0.030281701,-0.008061266,1.248154235,-0.215627705
EMT-Serie2-1-C1,J09,2.61E-07,EC_11265529,EMT-Serie2-1-C1,2,1.38112357,0.22273103,0.174123337,1.144947953,-0.071115543
EMT-Serie2-1-C1,K09,2.61E-07,EC_11281741,EMT-Serie2-1-C1,2,1.253911335,0.095675179,0.094719871,1.109545798,-0.167326797
EMT-Serie2-1-C1,L09,2.61E-07,EC_11265537,EMT-Serie2-1-C1,2,1.227349046,0.062085779,-0.032648126,1.126659884,-0.213239872
EMT-Serie2-1-C1,M09,2.61E-07,EC_11257101,EMT-Serie2-1-C1,2,0.982485491,-0.018233475,0.008061266,1.063316898,-0.22559102
EMT-Serie2-1-C1,N09,2.61E-07,EC_11191782,EMT-Serie2-1-C1,2,0.950682432,0.058388383,0.00362757,1.029819206,-0.141384436
EMT-Serie2-1-C1,O09,2.61E-07,EC_11258170,EMT-Serie2-1-C1,2,0.6460575,0.036418407,0.15356711,0.293313506,-0.087751078
EMT-Serie2-1-C1,P09,2.61E-07,EC_11192156,EMT-Serie2-1-C1,2,0.839090634,-0.05394126,-0.264812576,0.350395241,-0.328150264
