Plate,Well,Class,G,Surface_nucleus,R,Nuclei,Eccentricity,Plate_Sanofi,COMPOUND_MASK,Concentration
4082_EMT-Serie2-1-C1_29112017_1156,B07,2,1.079000171,0.648775952,0.14210703,0.183393793,0.374135817,EMT-Serie2-1-C1,EC_11191498,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,C07,2,0.889415607,0.477984267,0.646433469,0.390165256,0.0446375,EMT-Serie2-1-C1,EC_11190878,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,D07,2,1.301048078,0.652666479,0.195983565,0.16122531199999998,0.841512092,EMT-Serie2-1-C1,EC_11193483,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,E07,2,1.251621092,1.09607644,0.223463228,0.077791213,0.731548877,EMT-Serie2-1-C1,EC_11190059,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,F07,2,1.357572177,0.7645130109999999,0.0613374,-0.02700524,1.173854061,EMT-Serie2-1-C1,EC_11259170,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,G07,2,1.329757234,0.215997651,0.171946446,-0.095929061,1.129920952,EMT-Serie2-1-C1,EC_11192169,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,H07,2,1.052147357,0.728079083,0.129098723,0.104796453,0.8519735979999999,EMT-Serie2-1-C1,EC_11258805,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,I07,2,1.214920611,0.733009531,0.272202243,0.024183797000000003,1.055881662,EMT-Serie2-1-C1,EC_11281652,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,J07,2,1.108811058,0.944749624,0.250008428,0.159613059,0.563669093,EMT-Serie2-1-C1,EC_11265529,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,K07,2,0.879205727,0.8042379829999999,0.07435245,0.012494962,0.8872453109999999,EMT-Serie2-1-C1,EC_11281741,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,L07,2,1.214675363,0.801754407,0.33643742,0.103990326,0.672223527,EMT-Serie2-1-C1,EC_11265537,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,M07,2,1.235830868,1.116140793,0.128146731,0.065699315,1.102841042,EMT-Serie2-1-C1,EC_11257101,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,N07,2,0.949127934,1.012515752,0.018984551,0.010076582,0.7281573659999999,EMT-Serie2-1-C1,EC_11191782,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,O07,2,0.86368339,1.051041756,0.157473743,0.099959694,0.314940909,EMT-Serie2-1-C1,EC_11258170,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,P07,2,0.7022420229999999,0.932955699,0.124207966,0.20274083,-0.06005582900000001,EMT-Serie2-1-C1,EC_11192156,2.903e-06
4082_EMT-Serie2-1-C1_29112017_1156,A08,2,0.852145395,0.701652862,-0.028155226,-0.062071745,0.8928021709999999,EMT-Serie2-1-C1,EC_11187255,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,B08,2,1.007557424,0.6037412679999999,0.050133292,0.057638049,0.914899168,EMT-Serie2-1-C1,EC_11191498,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,C08,2,0.92492003,1.122013287,0.151997767,0.111245466,0.814823511,EMT-Serie2-1-C1,EC_11190878,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,D08,2,0.97708248,0.656630412,0.267177991,0.149133414,0.7600114790000001,EMT-Serie2-1-C1,EC_11193483,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,E08,2,1.024838004,0.61662405,0.121453122,0.093510681,0.897315489,EMT-Serie2-1-C1,EC_11190059,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,F08,2,1.200511324,2.011084331,0.300058117,0.090286175,1.036445697,EMT-Serie2-1-C1,EC_11259170,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,G08,2,0.985205862,0.6953888690000001,0.013612404,-0.0076582019999999985,1.159557538,EMT-Serie2-1-C1,EC_11192169,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,H08,2,1.07077869,0.8517317740000001,0.084600521,0.106005643,0.925752002,EMT-Serie2-1-C1,EC_11258805,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,I08,2,1.124295665,0.827152942,0.111156508,0.02337767,0.852912786,EMT-Serie2-1-C1,EC_11281652,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,J08,2,1.149831684,0.851181228,0.170655998,0.094719871,0.76590749,EMT-Serie2-1-C1,EC_11265529,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,K08,2,1.2100684659999998,0.8902577779999999,0.033942689,0.041515518,1.250554382,EMT-Serie2-1-C1,EC_11281741,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,L08,2,1.13873891,1.581535902,0.141355955,0.07617896,0.478072578,EMT-Serie2-1-C1,EC_11265537,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,M08,2,1.245712492,0.942461798,0.098412493,0.142281338,0.7604028070000001,EMT-Serie2-1-C1,EC_11257101,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,N08,2,1.001052682,1.036935537,0.114113616,0.08464328900000001,0.727792126,EMT-Serie2-1-C1,EC_11191782,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,O08,2,0.865045462,1.359115211,0.103864197,0.02579605,0.476089849,EMT-Serie2-1-C1,EC_11258170,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,P08,2,0.723650323,0.8970356140000001,0.165184067,0.027408303,0.37677076,EMT-Serie2-1-C1,EC_11192156,8.709999999999998e-07
4082_EMT-Serie2-1-C1_29112017_1156,A09,2,0.872119935,0.77048338,-0.04280727,-0.262797259,1.077535154,EMT-Serie2-1-C1,EC_11187255,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,B09,2,1.146417072,0.859708578,-0.029732889,0.046755341,0.709791031,EMT-Serie2-1-C1,EC_11191498,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,C09,2,0.8677582859999999,1.12042282,-0.055998964000000005,-0.07980653,1.231170593,EMT-Serie2-1-C1,EC_11190878,2.613e-07
