Plate_Sanofi,Well,COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Concentration,PlateSanofi_Well
EMT-Serie2-1-C1,F06,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_F06
EMT-Serie2-1-C1,F07,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_F07
EMT-Serie2-1-C1,F08,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_F08
EMT-Serie2-1-C1,F09,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_F09
EMT-Serie2-1-C1,F10,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_F10
EMT-Serie2-1-C1,F11,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_F11
EMT-Serie2-1-C1,F12,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_F12
EMT-Serie2-1-C1,F13,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_F13
EMT-Serie2-1-C1,F14,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_F14
EMT-Serie2-1-C1,F15,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_F15
EMT-Serie2-1-C1,F16,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_F16
EMT-Serie2-1-C1,F17,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_F17
EMT-Serie2-1-C1,F18,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_F18
EMT-Serie2-1-C1,F19,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_F19
EMT-Serie2-1-C1,F20,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_F20
EMT-Serie2-1-C1,F21,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_F21
EMT-Serie2-1-C1,F22,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_F22
EMT-Serie2-1-C1,F23,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_F23
EMT-Serie2-1-C1,F24,EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_F24
EMT-Serie2-1-C1,G05,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_G05
EMT-Serie2-1-C1,G06,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_G06
EMT-Serie2-1-C1,G07,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_G07
EMT-Serie2-1-C1,G08,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_G08
EMT-Serie2-1-C1,G09,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_G09
EMT-Serie2-1-C1,G10,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_G10
EMT-Serie2-1-C1,G11,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_G11
EMT-Serie2-1-C1,G12,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_G12
EMT-Serie2-1-C1,G13,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_G13
EMT-Serie2-1-C1,G14,EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_G14
EMT-Serie2-1-C1,G15,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_G15
EMT-Serie2-1-C1,G16,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_G16
EMT-Serie2-1-C1,G17,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_G17
EMT-Serie2-1-C1,G18,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_G18
EMT-Serie2-1-C1,G19,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_G19
EMT-Serie2-1-C1,G20,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_G20
EMT-Serie2-1-C1,G21,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_G21
EMT-Serie2-1-C1,G22,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_G22
EMT-Serie2-1-C1,G23,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_G23
EMT-Serie2-1-C1,G24,EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_G24
EMT-Serie2-1-C1,H05,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_H05
EMT-Serie2-1-C1,H06,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_H06
EMT-Serie2-1-C1,H07,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_H07
EMT-Serie2-1-C1,H08,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_H08
EMT-Serie2-1-C1,H09,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_H09
EMT-Serie2-1-C1,H10,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_H10
EMT-Serie2-1-C1,H11,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_H11
EMT-Serie2-1-C1,H12,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_H12
EMT-Serie2-1-C1,H13,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_H13
EMT-Serie2-1-C1,H14,EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_H14
EMT-Serie2-1-C1,H15,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_H15
EMT-Serie2-1-C1,H16,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_H16
EMT-Serie2-1-C1,H17,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_H17
EMT-Serie2-1-C1,H18,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_H18
EMT-Serie2-1-C1,H19,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_H19
EMT-Serie2-1-C1,H20,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_H20
EMT-Serie2-1-C1,H21,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_H21
EMT-Serie2-1-C1,H22,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_H22
EMT-Serie2-1-C1,H23,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_H23
EMT-Serie2-1-C1,H24,EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_H24
EMT-Serie2-1-C1,I05,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_I05
EMT-Serie2-1-C1,I06,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_I06
EMT-Serie2-1-C1,I07,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_I07
EMT-Serie2-1-C1,I08,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_I08
EMT-Serie2-1-C1,I09,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_I09
