COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Well,Plate_Sanofi
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G11,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G12,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G13,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G14,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G15,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G16,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G17,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G18,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G19,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G20,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G21,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G22,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G23,EMT-Serie2-1-C2
EC_11191643,EB_11191645,2200116202a,EMT-Serie2-1,G24,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H05,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H06,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H07,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H08,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H09,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H10,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H11,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H12,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H13,EMT-Serie2-1-C2
EC_11258805,EB_11258807,2200116202a,EMT-Serie2-1,H14,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H15,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H16,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H17,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H18,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H19,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H20,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H21,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H22,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H23,EMT-Serie2-1-C2
EC_11188360,EB_11188362,2200116202a,EMT-Serie2-1,H24,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I05,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I06,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I07,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I08,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I09,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I10,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I11,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I12,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I13,EMT-Serie2-1-C2
EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,I14,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I15,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I16,EMT-Serie2-1-C2
